INV_NO;DEPTO;OFICINA_NO;AUXILIAR;PARTIDA_NO;COD_ENTIDAD;COD_ANTIGUO;SERIE;DESCRIPCION;ESTADO;GEOGRAFICA;ESPECIFICA;EMP_NO;PROCEDENCIA;FECHA_INGRESO;OBSERVACIONES
AF-1487;LA PAZ;OF-01;ESTANTE;PART-01;20301050110;012702-1300;-;ESTANTE METALICO TIPO MECANO DE 12 BANDEJAS C. PLOMO 200X41X200 CM.;REGULAR;CALLE BOLIVAR S/N;ARCHIVO DE DOCUMENTOS B KA;E-43;POL;31/3/2015;-
AF-1488;LA PAZ;OF-01;ESTANTE;PART-01;20301050111;012702-1301;-;ESTANTE METALICO TIPO MECANO DE 12 BANDEJAS C. PLOMO 200X41X200 CM.;REGULAR;CALLE BOLIVAR S/N;ARCHIVO DE DOCUMENTOS B KA;E-43;POL;31/3/2015;-
AF-1489;LA PAZ;OF-01;ESTANTE;PART-01;20301050112;012702-1302;-;ESTANTE METALICO TIPO MECANO DE 12 BANDEJAS C. PLOMO 200X41X200 CM.;REGULAR;CALLE BOLIVAR S/N;ARCHIVO DE DOCUMENTOS B KA;E-43;POL;31/3/2015;-
AF-1490;LA PAZ;OF-01;ESTANTE;PART-01;20301050113;012702-1303;-;ESTANTE METALICO TIPO MECANO DE 12 BANDEJAS C. PLOMO 200X41X200 CM.;REGULAR;CALLE BOLIVAR S/N;ARCHIVO DE DOCUMENTOS B KA;E-43;POL;31/3/2015;-
AF-1491;LA PAZ;OF-01;ESTANTE;PART-01;20301050114;012702-1304;-;ESTANTE METALICO TIPO MECANO DE 12 BANDEJAS C. PLOMO 200X41X200 CM.;REGULAR;CALLE BOLIVAR S/N;ARCHIVO DE DOCUMENTOS B KA;E-43;POL;31/3/2015;-
AF-1492;LA PAZ;OF-01;ESTANTE;PART-01;20301050115;012702-1305;-;ESTANTE METALICO TIPO MECANO DE 12 BANDEJAS C. PLOMO 200X41X200 CM.;REGULAR;CALLE BOLIVAR S/N;ARCHIVO DE DOCUMENTOS B KA;E-43;POL;31/3/2015;-
AF-1493;LA PAZ;OF-01;ESTANTE;PART-01;20301050116;012702-1306;-;ESTANTE METALICO TIPO MECANO DE 12 BANDEJAS C. PLOMO 200X41X200 CM.;REGULAR;CALLE BOLIVAR S/N;ARCHIVO DE DOCUMENTOS B KA;E-43;POL;31/3/2015;-
AF-1494;LA PAZ;OF-01;ESTANTE;PART-01;20301050117;012702-1307;-;ESTANTE METALICO TIPO MECANO DE 12 BANDEJAS C. PLOMO 200X41X200 CM.;REGULAR;CALLE BOLIVAR S/N;ARCHIVO DE DOCUMENTOS B KA;E-43;POL;31/3/2015;-
AF-1495;LA PAZ;OF-01;ESTANTE;PART-01;20301050118;012702-1308;-;ESTANTE METALICO TIPO MECANO DE 12 BANDEJAS C. PLOMO 200X41X200 CM.;REGULAR;CALLE BOLIVAR S/N;ARCHIVO DE DOCUMENTOS B KA;E-43;POL;31/3/2015;-
AF-1496;LA PAZ;OF-01;ESTANTE;PART-01;20301050119;012702-1309;-;ESTANTE METALICO TIPO MECANO DE 12 BANDEJAS C. PLOMO 200X41X200 CM.;REGULAR;CALLE BOLIVAR S/N;ARCHIVO DE DOCUMENTOS B KA;E-43;POL;31/3/2015;-
AF-1497;LA PAZ;OF-01;ESTANTE;PART-01;20301050120;RA-24002;-;ESTANTE METALICO TIPO MECANO DE 18 BANDEJAS C. PLOMO 285X33X200 CM.;REGULAR;CALLE BOLIVAR S/N;ARCHIVO DE DOCUMENTOS B KA;E-43;POL;31/3/2015;-
AF-1498;LA PAZ;OF-01;ESTANTE;PART-01;20301050121;SIN CODIGO;-;ESTANTE DE MADERA DE 15 DIVISIONES 310X34X190 CM.;REGULAR;CALLE BOLIVAR S/N;ARCHIVO DE DOCUMENTOS B KA;E-43;POL;31/3/2015;-
AF-1499;LA PAZ;OF-01;ESTANTE;PART-01;20301050122;SIN CODIGO;-;ESTANTE METALICO TIPO MECANO DE 12 BANDEJAS C. PLOMO 190X33X200 CM.;REGULAR;CALLE BOLIVAR S/N;ARCHIVO DE DOCUMENTOS B KA;E-43;POL;31/3/2015;-
AF-1500;LA PAZ;OF-01;ESTANTE;PART-01;20301050123;SIN CODIGO;-;ESTANTE METALICO TIPO MECANO DE 12 BANDEJAS C. PLOMO 190X33X200 CM.;REGULAR;CALLE BOLIVAR S/N;ARCHIVO DE DOCUMENTOS B KA;E-43;POL;31/3/2015;-
AF-1501;LA PAZ;OF-01;ESTANTE;PART-01;20301050124;012702-1126;-;ESTANTE METALICO TIPO MECANO DE 10 BANDEJAS C. PLOMO 200X41X200 CM.;REGULAR;CALLE BOLIVAR S/N;ARCHIVO DE DOCUMENTOS B KA;E-43;POL;31/3/2015;-
AF-1502;LA PAZ;OF-01;ESTANTE;PART-01;20301050125;012702-1127;-;ESTANTE METALICO TIPO MECANO DE 10 BANDEJAS C. PLOMO 200X41X200 CM.;REGULAR;CALLE BOLIVAR S/N;ARCHIVO DE DOCUMENTOS B KA;E-43;POL;31/3/2015;-
AF-1503;LA PAZ;OF-01;ESTANTE;PART-01;20301050126;SIN CODIGO;-;ESTANTE DE MADERA DE 18 DIVISIONES  410X41X215 CM.;REGULAR;CALLE BOLIVAR S/N;ARCHIVO DE DOCUMENTOS B KA;E-43;POL;31/3/2015;-
AF-1504;LA PAZ;OF-01;ESTANTE;PART-01;20301050127;PCGDNI067006;-;ESTANTE METALICO DE 5 CAJONES C. PLOMO 30X44X176 CM.;REGULAR;CALLE BOLIVAR S/N;ARCHIVO DE DOCUMENTOS A KA;E-43;POL;31/3/2015;-
AF-1505;LA PAZ;OF-01;ESTANTE;PART-01;20301050128;PCDDDI082034;-;ESTANTE METALICO DE 5 CAJONES C. PLOMO 30X44X176 CM.;REGULAR;CALLE BOLIVAR S/N;ARCHIVO DE DOCUMENTOS B KA;E-43;POL;31/3/2015;-
AF-1506;LA PAZ;OF-01;ESTANTE;PART-01;20301050129;PCDDDI032027;-;ESTANTE METALICO DE 18 CAJONES C. VERDE 48X56X148 CM.;REGULAR;CALLE BOLIVAR S/N;ARCHIVO DE DOCUMENTOS B KA;E-43;POL;31/3/2015;-
AF-1507;LA PAZ;OF-01;ESTANTE;PART-01;20301050130;PCDDDI032054;-;"ESTANTE DE MADERA DE 8 DIVISIONES 
138X26X200 CM.";REGULAR;CALLE BOLIVAR S/N;ARCHIVO DE DOCUMENTOS A KA;E-43;POL;31/3/2015;-
AF-1508;LA PAZ;OF-01;ESTANTE;PART-01;20301050131;PCDDDDI082055;-;"ESTANTE DE MADERA DE 12 DIVISIONES 
380X40X215 CM.";REGULAR;CALLE BOLIVAR S/N;ARCHIVO DE DOCUMENTOS A KA;E-43;POL;31/3/2015;-
AF-1509;LA PAZ;OF-01;ESTANTE;PART-01;20301050132;PCDDDI032056;-;ESTANTE DE MADERA DE 12 DIVISIONES 300X50X240 CM.;REGULAR;CALLE BOLIVAR S/N;ARCHIVO DE DOCUMENTOS A KA;E-43;POL;31/3/2015;-
AF-1510;LA PAZ;OF-01;ESTANTE;PART-01;20301050133;PCDDDI032057;-;ESTANTE DE MADERA DE 12 DIVISIONES 260X47X220 CM.;REGULAR;CALLE BOLIVAR S/N;ARCHIVO DE DOCUMENTOS A KA;E-43;POL;31/3/2015;-
AF-1511;LA PAZ;OF-01;ESTANTE;PART-01;20301050134;PCDDDI082053;-;ESTANTE DE MADERA DE 12 DIVISIONES 250X50X210 CM.;REGULAR;CALLE BOLIVAR S/N;ARCHIVO DE DOCUMENTOS A KA;E-43;POL;31/3/2015;-
AF-1512;LA PAZ;OF-01;ESTANTE;PART-01;20301050135;PCDDDI032052;-;ESTANTE DE MADERA DE 12 DIVISIONES 250X50X210 CM.;REGULAR;CALLE BOLIVAR S/N;ARCHIVO DE DOCUMENTOS A KA;E-43;POL;31/3/2015;-
AF-1513;LA PAZ;OF-01;ESTANTE;PART-01;20301050136;PCDDDI082058;-;ESTANTE DE MADERA DE 12 DIVISIONES 260X47X220 CM.;REGULAR;CALLE BOLIVAR S/N;ARCHIVO DE DOCUMENTOS A KA;E-43;POL;31/3/2015;-
AF-1514;LA PAZ;OF-01;ESTANTE;PART-01;20301050137;PCDDDI082059;-;ESTANTE DE MADERA DE 9 DIVISIONES 300X52X215 CM.;REGULAR;CALLE BOLIVAR S/N;ARCHIVO DE DOCUMENTOS A KA;E-43;POL;31/3/2015;-
AF-1515;LA PAZ;OF-01;ESTANTE;PART-01;20301050138;PCDDDI032051;-;ESTANTE DE MADERA DE 9 DIVISIONES 300X52X215 CM.;REGULAR;CALLE BOLIVAR S/N;ARCHIVO DE DOCUMENTOS A KA;E-43;POL;31/3/2015;-
AF-1516;LA PAZ;OF-01;ESTANTE;PART-01;20301050139;012702-1125;-;ESTANTE METALICO TIPO MECANO DE 10 BANDEJAS C. PLOMO 200X40X200 CM.;REGULAR;CALLE BOLIVAR S/N;ARCHIVO DE DOCUMENTOS A KA;E-43;POL;31/3/2015;-
AF-1517;LA PAZ;OF-01;ESTANTE;PART-01;20301050140;PCDDDI082060;-;ESTANTE DE MADERA DE 8 DIVISIONES 260X50X188 CM.;REGULAR;CALLE BOLIVAR S/N;ARCHIVO DE DOCUMENTOS A KA;E-43;POL;31/3/2015;-
AF-1518;LA PAZ;OF-01;ESTANTE;PART-01;20301050141;PCDDDI082061;-;ESTANTE DE MADERA DE 12 DIVISIONES 250X50X210 CM.;REGULAR;CALLE BOLIVAR S/N;ARCHIVO DE DOCUMENTOS A KA;E-43;POL;31/3/2015;-
AF-1519;LA PAZ;OF-01;ESTANTE;PART-01;20301050142;PCDDDI082050;-;ESTANTE DE MADERA DE 12 DIVISIONES 262X47X210 CM.;REGULAR;CALLE BOLIVAR S/N;ARCHIVO DE DOCUMENTOS A KA;E-43;POL;31/3/2015;-
AF-1520;LA PAZ;OF-01;ESTANTE;PART-01;20301050143;PCDDDI08249;-;ESTANTE DE MADERA DE 12 DIVISIONES 250X50X210 CM.;REGULAR;CALLE BOLIVAR S/N;ARCHIVO DE DOCUMENTOS A KA;E-43;POL;31/3/2015;-
AF-1521;LA PAZ;OF-01;ESTANTE;PART-01;20301050144;012702-1123;-;ESTANTE METALICO TIPO MECANO DE 10 BANDEJAS C. PLOMO 200X40X200 CM.;REGULAR;CALLE BOLIVAR S/N;ARCHIVO DE DOCUMENTOS A KA;E-43;POL;31/3/2015;-
AF-1522;LA PAZ;OF-01;ESTANTE;PART-01;20301050145;012702-1124;-;ESTANTE METALICO TIPO MECANO DE 10 BANDEJAS C. PLOMO 200X40X200 CM.;REGULAR;CALLE BOLIVAR S/N;ARCHIVO DE DOCUMENTOS A KA;E-43;POL;31/3/2015;-
AF-1523;LA PAZ;OF-01;ESTANTE;PART-01;20301050146;PCDDDI082048;-;ESTANTE DE MADERA DE 12 DIVISIONES 250X50X210 CM.;REGULAR;CALLE BOLIVAR S/N;ARCHIVO DE DOCUMENTOS A KA;E-43;POL;31/3/2015;-
AF-1524;LA PAZ;OF-01;ESTANTE;PART-01;20301050147;PCDDDI082062;-;ESTANTE DE MADERA DE 12 DIVISIONES 262X48X220 CM.;REGULAR;CALLE BOLIVAR S/N;ARCHIVO DE DOCUMENTOS A KA;E-43;POL;31/3/2015;-
AF-1525;LA PAZ;OF-01;ESTANTE;PART-01;20301050148;PCDDDI082063;-;ESTANTE DE MADERA DE 9 DIVISIONES 300X50X230 CM.;REGULAR;CALLE BOLIVAR S/N;ARCHIVO DE DOCUMENTOS A KA;E-43;POL;31/3/2015;-
AF-1526;LA PAZ;OF-01;ESTANTE;PART-01;20301050149;PCDDDI082047;-;ESTANTE DE MADERA DE 12 DIVISIONES 260X47X220 CM.;REGULAR;CALLE BOLIVAR S/N;ARCHIVO DE DOCUMENTOS A KA;E-43;POL;31/3/2015;-
AF-1527;LA PAZ;OF-01;ESTANTE;PART-01;20301050150;PCDDDI082064;-;ESTANTE DE MADERA DE 9 DIVISIONES 300X50X230 CM.;REGULAR;CALLE BOLIVAR S/N;ARCHIVO DE DOCUMENTOS A KA;E-43;POL;31/3/2015;-
AF-1528;LA PAZ;OF-01;ESTANTE;PART-01;20301050151;PCDDDI082065;-;ESTANTE DE MADERA DE 12 DIVISIONES 250X47X220 CM.;REGULAR;CALLE BOLIVAR S/N;ARCHIVO DE DOCUMENTOS A KA;E-43;POL;31/3/2015;-
AF-1529;LA PAZ;OF-01;ESTANTE;PART-01;20301050152;012702-1310;-;ESTANTE METALICO TIPO MECANO DE 10 BANDEJAS C. PLOMO 200X40X200 CM.;REGULAR;CALLE BOLIVAR S/N;ARCHIVO DE DOCUMENTOS A KA;E-43;POL;31/3/2015;-
AF-1530;LA PAZ;OF-01;ESTANTE;PART-01;20301050153;PCDDDI082046;-;ESTANTE DE MADERA DE 12 DIVISIONES 260X50X230 CM.;REGULAR;CALLE BOLIVAR S/N;ARCHIVO DE DOCUMENTOS A KA;E-43;POL;31/3/2015;-
AF-1531;LA PAZ;OF-01;ESTANTE;PART-01;20301050154;PCGDNI067007;-;ESTANTE METALICO DE 5 CAJONES C. PLOMO 30X44X176 CM.;REGULAR;CALLE BOLIVAR S/N;ARCHIVO DE DOCUMENTOS A KA;E-43;POL;31/3/2015;-
AF-1532;LA PAZ;OF-01;ESTANTE;PART-01;20301050155;PCDDDI070017;-;ESTANTE METALICO DE 5 CAJONES C. PLOMO 30X44X176 CM.;REGULAR;CALLE BOLIVAR S/N;ARCHIVO DE DOCUMENTOS A KA;E-43;POL;31/3/2015;-
AF-1533;LA PAZ;OF-01;ESTANTE;PART-01;20301050157;PCDDDI079002;-;ESTANTE METALICO DE 5 CAJONES C. PLOMO 30X44X176 CM.;REGULAR;CALLE BOLIVAR S/N;ARCHIVO DE DOCUMENTOS A KA;E-43;POL;31/3/2015;-
AF-1534;LA PAZ;OF-01;ESTANTE;PART-01;20301050160;PCDDNI021005;-;ESTANTE DE MADERA DE 4 DIVISIONES C. CAFE 100X37X175 CM.;REGULAR;CALLE BOLIVAR S/N;ARCHIVO DE DOCUMENTOS B KA;E-43;POL;31/3/2015;-
AF-1535;LA PAZ;OF-01;ESTANTE;PART-01;20301060015;SIN CODIGO;-;MESA DE ESTRUCTURA METALICA CON FORMICA C. VERDE 120X75X80 CM.;REGULAR;CALLE BOLIVAR S/N;ARCHIVO DE DOCUMENTOS B KA;E-43;POL;31/3/2015;-
AF-1536;LA PAZ;OF-01;ESTANTE;PART-01;20301060016;PCDDDI075001;-;MESA DE MADERA CON 1 CAJON C. GUINDO 100X55X80 CM.;REGULAR;CALLE BOLIVAR S/N;ARCHIVO DE DOCUMENTOS B KA;E-43;POL;31/3/2015;-
AF-1537;LA PAZ;OF-01;ESTANTE;PART-01;20301060017;01-13-02-0255;-;MESA DE MADERA CON 1 CAJON 100X53X80 CM.;REGULAR;CALLE BOLIVAR S/N;ARCHIVO DE DOCUMENTOS B KA;E-43;POL;31/3/2015;-
AF-1538;LA PAZ;OF-01;MESA;PART-01;20301060018;PCDDDI082073;-;MESA DE MADERA CON 4 CAJONES C. CAFE 200X87X80 CM.;REGULAR;CALLE BOLIVAR S/N;ARCHIVO DE DOCUMENTOS A KA;E-43;POL;31/3/2015;-
AF-1539;LA PAZ;OF-01;MESA;PART-01;20301060019;SIN CODIGO;-;MESA DE MADERA CON 3 CAJONES C. CAFE 150X80X80 CM.;REGULAR;CALLE BOLIVAR S/N;ARCHIVO DE DOCUMENTOS A KA;E-43;POL;31/3/2015;-
AF-1540;LA PAZ;OF-01;MESA;PART-01;20301060020;PCDDDI822071;-;MESA DE MADERA CON 2 CAJONES C. CAFE 200X87X80 CM.;REGULAR;CALLE BOLIVAR S/N;ARCHIVO DE DOCUMENTOS A KA;E-43;POL;31/3/2015;-
AF-1541;LA PAZ;OF-01;MESA;PART-01;20301060021;PCDDDI082089;-;MESA DE MADERA CON 1 CAJONES C. CAFE 96X63X80 CM.;REGULAR;CALLE BOLIVAR S/N;ARCHIVO DE DOCUMENTOS A KA;E-43;POL;31/3/2015;ROTA DETRÁS DE PUERTA
AF-1542;LA PAZ;OF-01;MESA;PART-01;20301060022;PCDDDI082070;-;MESA DE MADERA CON 4 CAJONES C. CAFE 200X87X80 CM.;REGULAR;CALLE BOLIVAR S/N;ARCHIVO DE DOCUMENTOS A KA;E-43;POL;31/3/2015;-
AF-1543;LA PAZ;OF-01;MESA;PART-01;20301060023;SIN CODIGO;-;MESA DE ESTRUCTURA METALICA CON 1 CAJON C. PLOMO 80X47X77 CM.;REGULAR;CALLE BOLIVAR S/N;ARCHIVO DE DOCUMENTOS A KA;E-43;POL;31/3/2015;-
AF-1544;LA PAZ;OF-01;ESTANTE;PART-01;20301060024;SIN CODIGO;-;MESA AUXILIAR PARA TELEFONO C. CAFE 30X30X58 CM.;REGULAR;CALLE BOLIVAR S/N;ARCHIVO DE DOCUMENTOS B KA;E-43;POL;31/3/2015;-
AF-1545;LA PAZ;OF-01;MESA;PART-01;20301060138;SIN CODIGO;-;MESA DE TRABAJO Nº 4 TABLERO AGLOMERADO - ESTANTE 3 DIVISIONES 1 CAJONER C/ AZUL BLANCO 110X155 CM.;BUENO;CALLE BOLIVAR S/N;ARCHIVO DE DOCUMENTOS A KA;E-43;ENTIDAD;31/3/2015;-
AF-1546;LA PAZ;OF-01;ESCALERA;PART-01;20301100002;PCDDDI082025;-;ESCALERA METALICA DE 5 PELDAÑOS;REGULAR;CALLE BOLIVAR S/N;ARCHIVOS TIPS KA;E-43;POL;31/3/2015;-
AF-1547;LA PAZ;OF-01;ESCALERA;PART-01;20301100003;SIN CODIGO;-;ESCALERA TIPO TIJERA DE 3 PELDAÑOS DE 0,92 MTS. MARCA CUPRUN;REGULAR;CALLE BOLIVAR S/N;ARCHIVOS TIPS KA;E-43;ENTIDAD;31/3/2015;-
AF-1548;LA PAZ;OF-01;ESCALERA;PART-01;20301100004;SIN CODIGO;-;ESCALERA TIPO TIJERA DE 3 PELDAÑOS DE 0,92 MTS. MARCA CUPRUN;BUENO;CALLE BOLIVAR S/N;ARCHIVO DE DOCUMENTOS A KA;E-43;ENTIDAD;31/3/2015;-
AF-1549;LA PAZ;OF-01;PERCHERO;PART-01;20301210006;PCDDDI080004;-;PERCHERO DE MADERA DE 5 GANCHOS C. NEGRO;REGULAR;CALLE BOLIVAR S/N;ARCHIVOS TIPS KA;E-43;POL;31/3/2015;-
AF-1550;LA PAZ;OF-01;BANCA;PART-01;20301240001;SIN CODIGO;-;BANCA DE MADERA 150X34X46 CM.;REGULAR;CALLE BOLIVAR S/N;ARCHIVOS TIPS KA;E-43;POL;31/3/2015;-
AF-1551;LA PAZ;OF-01;ESTANTE;PART-01;20301240003;PCGDIP33/2065;-;BANCA DE MADERA 200X34X47 CM;REGULAR;CALLE BOLIVAR S/N;ARCHIVO DE DOCUMENTOS B KA;E-43;POL;31/3/2015;-
AF-1552;LA PAZ;OF-01;BANCA;PART-01;20301240004;PCDDDI082024;-;BANCA DE MADERA 296X29X45 CM.;REGULAR;CALLE BOLIVAR S/N;ARCHIVO DE DOCUMENTOS A KA;E-43;POL;31/3/2015;-
AF-1553;LA PAZ;OF-01;BANCA;PART-01;20301240005;PCDDDI082075;-;BANCA DE MADERA 200X35X47 CM.;REGULAR;CALLE BOLIVAR S/N;ARCHIVO DE DOCUMENTOS A KA;E-43;POL;31/3/2015;-
AF-1554;LA PAZ;OF-01;BANCA;PART-01;20301240006;011502-0094;-;BANCA DE MADERA 200X35X47 CM.;REGULAR;CALLE BOLIVAR S/N;ARCHIVO DE DOCUMENTOS A KA;E-43;POL;31/3/2015;-
AF-1555;LA PAZ;OF-01;BANCA;PART-01;20301240007;PCDDDI082043;-;BANCA DE MADERA 200X35X47 CM.;REGULAR;CALLE BOLIVAR S/N;ARCHIVO DE DOCUMENTOS A KA;E-43;POL;31/3/2015;GRADAS
AF-1556;LA PAZ;OF-01;ROPERO;PART-01;20301250001;PCDDNI021006;-;ESTANTE DE MADERA DE 8 DIVISIONES C. ROBLE 160X45X180 CM.;REGULAR;CALLE BOLIVAR S/N;ARCHIVO DE DOCUMENTOS B KA;E-43;POL;31/3/2015;-
AF-1557;LA PAZ;OF-01;APARATO TELEFONICO;PART-02;20302010004;BHN-4202-201;AB6CAN-74417-MT-E;APARATO TELEFONICO MARCA NORTHERN;REGULAR;CALLE BOLIVAR S/N;ARCHIVOS TIPS KA;E-43;POL;31/3/2015;-
AF-1558;LA PAZ;OF-04;ESTUFA;PART-03;20303090012;SIN CODIGO;11-MGF-1345;ESTUFA MARCA MAGAFFESA MODELO WARM;BUENO;CALLE BOLIVAR S/N;ARCHIVOS TIPS KA;E-180;ENTIDAD;31/3/2015;-
AF-1559;LA PAZ;OF-01;TRANSFORMADOR DE VOLTAJE;PART-03;20303160003;01-114-4370-29-0033;-;TRANSFORMADOR DE VOLTAJE MARCA LAYRTON;REGULAR;CALLE BOLIVAR S/N;ARCHIVO DE DOCUMENTOS B KA;E-43;PCG;31/3/2015;-
AF-1560;LA PAZ;OF-01;CPU;PART-05;20305020024;012704-1035;-;CPU MARCA EBIT;REGULAR;CALLE BOLIVAR S/N;ARCHIVO DE DOCUMENTOS B KA;E-43;POL;31/3/2015;-
AF-1561;LA PAZ;OF-01;LAPTOP;PART-05;20305030050;01-111-4312-01-0547;DX5DYJ1;LAPTOP MARCA DELL INSPIRON MOD. PP41L;REGULAR;CALLE BOLIVAR S/N;ARCHIVO DE DOCUMENTOS B KA;E-43;PCG;31/3/2015;CON REGISTRO EN EL SIAF
AF-1562;LA PAZ;OF-01;ESCANERS;PART-05;20305040013;01-111-4312-05-0089;CN4AMT0346;ESCANER MARCA HP MOD. SCANJET 8250;REGULAR;CALLE BOLIVAR S/N;ARCHIVO DE DOCUMENTOS B KA;E-43;PCG;31/3/2015;CON REGISTRO EN EL SIAF
AF-1563;LA PAZ;OF-01;IMPRESORA;PART-05;20305050021;PCG01-114-4312-02-0236;CNBK982264;IMPRESORA MARCA HP MOD. LASER JET 1020;REGULAR;CALLE BOLIVAR S/N;ARCHIVO DE DOCUMENTOS B KA;E-43;PCG;31/3/2015;CON REGISTRO EN EL SIAF
AF-1564;LA PAZ;OF-01;TECLADO;PART-06;20306020019;SIN CODIGO;ZM9315056715;TECLADO MARCA GENIUS MOD. GK-070001-U;REGULAR;CALLE BOLIVAR S/N;ARCHIVO DE DOCUMENTOS B KA;E-43;POL;31/3/2015;-
AF-1565;LA PAZ;OF-01;MOUSE;PART-06;20306030016;SIN CODIGO;118268801304.;MOUSE MARCA GENIUS MOD. GM-03023A;REGULAR;CALLE BOLIVAR S/N;ARCHIVO DE DOCUMENTOS B KA;E-43;POL;31/3/2015;-
AF-1566;LA PAZ;OF-01;MONITOR;PART-01;20305010013;0127-04-1072;CNK60618GC;MONITOR MARCA HP MOD. HSTND-2801;REGULAR;CALLE BOLIVAR S/N;ARCHIVO DE DOCUMENTOS B KA;E-43;POL;31/3/2015;-
AF-1567;LA PAZ;OF-01;CAJA;PART-01;SIN CODIGO;011302-0198;-;CAJA DE MADERA GRANDE SUELTA;REGULAR;CALLE BOLIVAR S/N;ACHACHICALA;E-43;POL;31/3/2015;VERIFICADO CON KATERINE
AF-1568;LA PAZ;OF-01;CAJA;PART-01;SIN CODIGO;011302-0199;-;CAJA DE MADERA GRANDE SUELTA;REGULAR;CALLE BOLIVAR S/N;ACHACHICALA;E-43;POL;31/3/2015;VERIFICADO CON KATERINE
AF-1569;LA PAZ;OF-01;CAJA;PART-01;SIN CODIGO;011302-0200;-;CAJA DE MADERA GRANDE SUELTA;REGULAR;CALLE BOLIVAR S/N;ACHACHICALA;E-43;POL;31/3/2015;VERIFICADO CON KATERINE
AF-1570;LA PAZ;OF-01;CAJA;PART-01;SIN CODIGO;011302-0201;-;CAJA DE MADERA GRANDE SUELTA;REGULAR;CALLE BOLIVAR S/N;ACHACHICALA;E-43;POL;31/3/2015;VERIFICADO CON KATERINE
AF-1571;LA PAZ;OF-01;CAJA;PART-01;SIN CODIGO;011302-0202;-;CAJA DE MADERA GRANDE SUELTA;REGULAR;CALLE BOLIVAR S/N;ACHACHICALA;E-43;POL;31/3/2015;VERIFICADO CON KATERINE
AF-1572;LA PAZ;OF-01;CAJA;PART-01;SIN CODIGO;011302-0203;-;CAJA DE MADERA GRANDE SUELTA;REGULAR;CALLE BOLIVAR S/N;ACHACHICALA;E-43;POL;31/3/2015;VERIFICADO CON KATERINE
AF-1573;LA PAZ;OF-01;GAVETERO;PART-01;SIN CODIGO;012702-1089;-;GABETERO METÁLIC O DE 75 CAJAS;REGULAR;CALLE BOLIVAR S/N;ACHACHICALA;E-43;POL;31/3/2015;VERIFICADO CON KATERINE
AF-1574;LA PAZ;OF-01;GAVETERO;PART-01;SIN CODIGO;012702-1090;-;GABETERO METÁLIC O DE 75 CAJAS;REGULAR;CALLE BOLIVAR S/N;ACHACHICALA;E-43;POL;31/3/2015;VERIFICADO CON KATERINE
AF-1575;LA PAZ;OF-01;CAJA;PART-01;SIN CODIGO;23-01- 02-0001;-;CAJA DE MADERA GRANDE SUELTA;REGULAR;CALLE BOLIVAR S/N;ACHACHICALA;E-43;POL;31/3/2015;VERIFICADO CON KATERINE
AF-1576;LA PAZ;OF-01;CAJA;PART-01;SIN CODIGO;23-01-02-0002;-;CAJA DE MADERA 100X50 cm.;REGULAR;CALLE BOLIVAR S/N;ARCHIVOS TIPS KA;E-43;POL;31/3/2015;-
AF-1577;LA PAZ;OF-01;CAJA;PART-01;SIN CODIGO;23-01-02-0004;-;CAJA DE MADERA 100X50 cm.;REGULAR;CALLE BOLIVAR S/N;ARCHIVOS TIPS KA;E-43;POL;31/3/2015;-
AF-1578;LA PAZ;OF-01;CAJA;PART-01;SIN CODIGO;23-01-02-0005;-;CAJA DE MADERA 100X50 cm.;REGULAR;CALLE BOLIVAR S/N;ARCHIVOS TIPS KA;E-43;POL;31/3/2015;-
AF-1579;LA PAZ;OF-01;GAVETERO;PART-01;SIN CODIGO;PCDDD1083003;-;GABETERO METÁLIC O DE 4 CAJAS;REGULAR;CALLE BOLIVAR S/N;ACHACHICALA;E-43;POL;31/3/2015;VERIFICADO CON KATERINE
AF-1580;LA PAZ;OF-01;GAVETERO;PART-01;SIN CODIGO;PCDDD1083004;-;GABETERO DE MADERA DE 75 CAJAS;REGULAR;CALLE BOLIVAR S/N;ACHACHICALA;E-43;POL;31/3/2015;VERIFICADO CON KATERINE
AF-1581;LA PAZ;OF-01;GAVETERO;PART-01;SIN CODIGO;PCDDD1083005;-;GABETERO DE MADERA DE 10 CAJAS;REGULAR;CALLE BOLIVAR S/N;ACHACHICALA;E-43;POL;31/3/2015;VERIFICADO CON KATERINE
AF-1582;LA PAZ;OF-01;GAVETERO;PART-01;SIN CODIGO;PCDDD1083006;-;GABETERO DE MADERA DE 13 CAJAS;REGULAR;CALLE BOLIVAR S/N;ACHACHICALA;E-43;POL;31/3/2015;VERIFICADO CON KATERINE
AF-1583;LA PAZ;OF-01;GAVETERO;PART-01;SIN CODIGO;PCDDD1083007;-;GABETERO DE MADERA DE 75 CAJAS;REGULAR;CALLE BOLIVAR S/N;ACHACHICALA;E-43;POL;31/3/2015;VERIFICADO CON KATERINE
AF-1584;LA PAZ;OF-01;GAVETERO;PART-01;SIN CODIGO;PCDDD1083008;-;GABETERO DE MADERA DE 75 CAJAS;REGULAR;CALLE BOLIVAR S/N;ACHACHICALA;E-43;POL;31/3/2015;VERIFICADO CON KATERINE
AF-1585;LA PAZ;OF-01;GAVETERO;PART-01;SIN CODIGO;PCDDD1083009;-;GABETERO DE MADERA DE 75 CAJAS;REGULAR;CALLE BOLIVAR S/N;ACHACHICALA;E-43;POL;31/3/2015;VERIFICADO CON KATERINE
